Site,Product,Year,N,Start,End,RMSE,MAE,BIAS,CORRELATION,R2,STATUS,SOURCE_LAYER,N_CATEGORY,N_SUFFICIENT,ABS_BIAS,INTERPRETATION
DIT,MERRA2,2017,365,2017-01-01,2017-12-31,1.2973035391021843,1.099145760045833,-0.5855546733811635,0.6945319363417566,0.4823746105986298,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5855546733811635,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,MERRA2,2016,184,2016-06-21,2016-12-21,0.9241949941538192,0.5892979742168811,0.2989724547771158,0.6451781895652398,0.4162548962906804,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2989724547771158,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,MERRA2,2017,272,2017-04-04,2017-12-31,1.091083683292146,0.7544125856212517,0.2946890867853884,0.630513348626969,0.3975470827967937,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2946890867853884,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,MERRA2,2018,284,2018-01-01,2018-10-11,0.7870742226078185,0.5563484410404179,-0.2704321802861196,0.5656310152340385,0.3199384453946891,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2704321802861196,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,MERRA2,2014,350,2014-01-16,2014-12-31,1.0072226099904724,0.7567257379270876,0.0715744598790359,0.7278715104762835,0.5297969357630264,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0715744598790359,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,MERRA2,2015,365,2015-01-01,2015-12-31,1.2221065807283311,0.873824384438246,0.2914182426779065,0.7492950326572214,0.5614430459647866,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2914182426779065,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,MERRA2,2016,366,2016-01-01,2016-12-31,1.0692936512622344,0.7628559860628031,0.0935365515122143,0.77268245379247,0.5970381743987526,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0935365515122143,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,MERRA2,2016,366,2016-01-01,2016-12-31,1.4793719137095462,1.0882007541557572,0.5234824847955453,0.5323061453772191,0.2833498324063531,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5234824847955453,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,MERRA2,2017,296,2017-01-01,2017-12-31,1.6526345898752313,1.2423011280186664,0.6920055365908616,0.4824638943916328,0.2327714093915406,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.6920055365908616,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,MERRA2,2018,365,2018-01-01,2018-12-31,1.674696417382574,1.3099518593404225,1.0489371579947488,0.4800666144997948,0.2304639543572946,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.0489371579947488,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,MERRA2,2016,160,2016-06-22,2016-11-28,1.1984587615754496,0.9849975102779064,-0.3883462463053188,0.6573444513096544,0.4321017276675905,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.3883462463053188,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,MERRA2,2017,226,2017-05-20,2017-12-31,1.849633861901517,1.426923513874215,0.0364633628160832,0.5292649692425654,0.2801214076673337,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0364633628160832,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,MERRA2,2018,313,2018-01-01,2018-11-09,1.6116242103539389,1.4228773963510193,-1.1444876076548298,0.7381206433558978,0.5448220841481244,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.1444876076548298,ELIGIBLE_FOR_PRIMARY_COMPARISON
PVM,MERRA2,2017,92,2017-10-01,2017-12-31,2.6769233562342825,2.4453542550786747,2.42948883436552,0.1497428570050012,0.0224229232240202,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,2.42948883436552,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,MERRA2,2014,365,2014-01-01,2014-12-31,1.6222098675159524,1.2232183811670738,-0.5985868076721991,0.6184108619913458,0.3824319942288793,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5985868076721991,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,MERRA2,2015,365,2015-01-01,2015-12-31,1.6494772285203418,1.2096595565863972,-0.4966700177836586,0.5389186872901541,0.2904333515105429,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.4966700177836586,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,MERRA2,2016,91,2016-01-01,2016-03-31,1.503342869535505,1.2781339995669636,-0.8919234950950766,0.12296988677491,0.0151215930534341,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.8919234950950766,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,MERRA2,2016,10,2016-06-17,2016-12-31,0.8180984486399366,0.6120104379939826,-0.1952516325418528,0.8964100062005006,0.8035508992163816,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.1952516325418528,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,MERRA2,2017,222,2017-01-01,2017-12-31,0.9992915223002312,0.6852635755239292,0.0754495895845713,0.805201700347303,0.6483497782421879,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0754495895845713,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,MERRA2,2018,313,2018-01-01,2018-11-09,1.4806750215850666,1.232010817768992,-0.7013393928745658,0.5785446484482103,0.3347139102480632,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.7013393928745658,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,MERRA2,2016,366,2016-01-01,2016-12-31,2.2007366630346707,1.700763330399901,-1.198413700707175,0.4867163601528617,0.2368928152404502,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.198413700707175,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,MERRA2,2017,365,2017-01-01,2017-12-31,2.5662521906069213,1.9529125737658528,-1.3643413420301738,0.2794890106473525,0.0781141070726359,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.3643413420301738,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,MOD16A2GF,2016,46,2016-01-01,2016-12-26,13.17177895120969,8.924795656628286,7.6163704169232735,0.7880338078657112,0.6209972823393326,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,7.6163704169232735,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,MOD16A2GF,2017,18,2017-01-01,2017-05-17,1.369493647534991,1.239674940382461,-0.5668734684702292,0.910340754763202,0.8287202897828363,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.5668734684702292,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,MOD16A2GF,2018,38,2018-01-01,2018-12-27,13.599783194392694,9.005006903201664,7.658112969558688,0.8564409211883796,0.7334910514860001,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,7.658112969558688,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,MOD16A2GF,2016,26,2016-01-01,2016-12-26,8.508206741517666,7.734856865541222,7.734856865541222,0.1856156757719245,0.0344531790922682,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,7.734856865541222,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,MOD16A2GF,2017,38,2017-01-01,2017-12-27,13.542823518792895,11.49889928585078,11.49889928585078,0.6591622736786785,0.4344949030412451,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,11.49889928585078,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,MOD16A2GF,2014,25,2014-06-18,2014-12-27,7.4742247928460115,5.462753464285162,4.939328074556131,0.1560766670522114,0.0243599259981268,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,4.939328074556131,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,MOD16A2GF,2015,38,2015-01-01,2015-12-27,5.70570852815237,3.657344220803056,3.5164304839660443,0.8140508385578669,0.6626787677567663,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,3.5164304839660443,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,MOD16A2GF,2016,8,2016-01-01,2016-02-26,1.1862303230651527,0.7645172643370164,0.762877876111245,-0.175648658468546,0.0308524512217999,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,0.762877876111245,REFERENCE_ONLY
DIT,MOD16A2GF,2016,46,2016-01-01,2016-12-26,14.997036195124457,11.62353229471174,11.590582043301064,0.7110272041885191,0.505559685096142,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,11.590582043301064,ELIGIBLE_FOR_PRIMARY_COMPARISON
DIT,MOD16A2GF,2017,46,2017-01-01,2017-12-27,15.25040937402074,11.926904275172063,11.926904275172063,0.6241132140865524,0.3895173039974468,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,11.926904275172063,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,MOD16A2GF,2016,23,2016-06-25,2016-12-18,0.848490365042777,0.602659548841254,0.2712906030333671,0.6753141333230083,0.4560491786658058,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.2712906030333671,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,MOD16A2GF,2017,34,2017-04-07,2017-12-27,1.6434242850419691,1.0033336553296852,-0.0976611971244868,0.3689894540136673,0.1361532171733043,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0976611971244868,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,MOD16A2GF,2018,36,2018-01-01,2018-10-08,0.8532458426529927,0.6092872722713177,0.0103875290478036,0.5948262022014857,0.3538182108254428,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0103875290478036,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,MOD16A2GF,2014,44,2014-01-17,2014-12-27,10.896566787343437,9.136829846991128,8.5890463059891,0.2913418999545225,0.084880102669111,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,8.5890463059891,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,MOD16A2GF,2015,46,2015-01-01,2015-12-27,9.647693728885274,8.256125718194852,7.30611919874315,0.0783154947829828,0.0061333167231034,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,7.30611919874315,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,MOD16A2GF,2016,46,2016-01-01,2016-12-26,12.613021705469398,10.297201110547345,9.918193146350411,0.7465416296677173,0.5573244048269311,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,9.918193146350411,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,MOD16A2GF,2016,46,2016-01-01,2016-12-26,18.8993301111333,16.967415334502135,16.967415334502135,0.4896470706970928,0.2397542538422438,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,16.967415334502135,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,MOD16A2GF,2017,38,2017-01-01,2017-12-27,19.15611584252225,17.187635007338,17.187635007338,0.4166147060291698,0.1735678132797715,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,17.187635007338,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,MOD16A2GF,2018,46,2018-01-01,2018-12-27,17.882152078508735,16.288924570946453,16.288924570946453,0.4876166553685395,0.237770002592801,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,16.288924570946453,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,MOD16A2GF,2016,20,2016-06-25,2016-11-24,16.57476350467631,14.16978108548624,14.16978108548624,0.6568600202530163,0.4314650862067929,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,14.16978108548624,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,MOD16A2GF,2017,28,2017-05-25,2017-12-27,14.684352744521142,10.99741999640854,10.830595866221564,0.5961307897819444,0.3553719185260448,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,10.830595866221564,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,MOD16A2GF,2018,40,2018-01-01,2018-11-09,10.802586944559716,7.35525112795403,6.541710935253127,0.6566197635978746,0.4311495139473286,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,6.541710935253127,ELIGIBLE_FOR_PRIMARY_COMPARISON
PVM,MOD16A2GF,2017,11,2017-10-08,2017-12-27,20.440765065103832,20.20821387079591,20.20821387079591,0.0550975802217329,0.0030357433462902,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,20.20821387079591,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,MOD16A2GF,2016,2,2016-06-17,2016-12-26,5.090108857315131,4.762583365671836,4.762583365671836,1.0,1.0,BENCHMARKED,GEE_COMMON_YEAR,INSUFFICIENT,False,4.762583365671836,REFERENCE_ONLY
SIT,MOD16A2GF,2017,28,2017-01-01,2017-12-27,14.575903500098,12.202589779135568,12.202589779135568,0.7149676667645855,0.5111787645187953,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,12.202589779135568,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,MOD16A2GF,2018,40,2018-01-01,2018-11-09,7.480119266750861,5.796236649310854,5.67941176530026,0.6032371637343663,0.3638950757102827,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,5.67941176530026,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,MOD16A2GF,2016,46,2016-01-01,2016-12-26,5.256510525986832,3.960372122537476,1.6516481869194164,0.1598521513748471,0.025552710299167,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.6516481869194164,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,MOD16A2GF,2017,46,2017-01-01,2017-12-27,9.239772551494005,6.494968668724745,4.16433716733991,0.0825654903735204,0.0068170602006198,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,4.16433716733991,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,PMLV2,2016,46,2016-01-01,2016-12-26,4.203428855651595,3.5289026346638948,-3.479781257863433,0.6340606813594847,0.4020329476460539,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,3.479781257863433,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,PMLV2,2017,18,2017-01-01,2017-05-17,2.3335705346080093,1.9168496449723715,-1.9168496449723715,0.7678888314937125,0.5896532575327791,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,1.9168496449723715,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,PMLV2,2018,38,2018-01-01,2018-12-27,4.289149738487821,3.528270263844449,-3.5182470637911254,0.7030260004944605,0.4942455573712372,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,3.5182470637911254,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,PMLV2,2016,26,2016-01-01,2016-12-26,0.6923890285229335,0.6106183976632499,0.5308118265348024,0.7855500745967098,0.6170889196988963,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.5308118265348024,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,PMLV2,2017,38,2017-01-01,2017-12-27,1.21634313192037,1.008510023069048,-0.3849121622109903,0.2375635790117894,0.0564364540728907,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.3849121622109903,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,PMLV2,2014,25,2014-06-18,2014-12-27,0.6996521043842104,0.5545572294388788,0.2378908978904676,0.7903127456133741,0.6245942358789497,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.2378908978904676,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,PMLV2,2015,38,2015-01-01,2015-12-27,0.93573905945531,0.7261603503118547,0.4639815555986228,0.7726652973768453,0.5970116617704488,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.4639815555986228,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,PMLV2,2016,8,2016-01-01,2016-02-26,0.3792445864816519,0.3167594280732045,0.2301449237069639,0.5729713204231941,0.3282961340274986,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,0.2301449237069639,REFERENCE_ONLY
DIT,PMLV2,2016,46,2016-01-01,2016-12-26,1.200888749707174,0.9211985946041048,-0.4638557817869296,0.5889502918801283,0.3468624463056883,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.4638557817869296,ELIGIBLE_FOR_PRIMARY_COMPARISON
DIT,PMLV2,2017,46,2017-01-01,2017-12-27,1.0795227626008113,0.8492728375938429,-0.5712693149081827,0.56666114040796,0.3211048480484497,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5712693149081827,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,PMLV2,2016,23,2016-06-25,2016-12-18,0.6624732480728956,0.5076926072743628,-0.1956255784107945,0.7656334919041933,0.5861946439254084,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.1956255784107945,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,PMLV2,2017,34,2017-04-07,2017-12-27,1.4150264163621995,0.8640546472745099,-0.3887096349438809,0.5322436838542381,0.2832833390027302,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.3887096349438809,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,PMLV2,2018,36,2018-01-01,2018-10-08,0.9158520088615476,0.7178642994559387,-0.5075267541206896,0.3703171986809928,0.1371348276389379,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5075267541206896,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,PMLV2,2014,44,2014-01-17,2014-12-27,0.952992140557259,0.7310778946150769,0.1580648308478305,0.6343272967210362,0.4023711193654175,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.1580648308478305,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,PMLV2,2015,46,2015-01-01,2015-12-27,1.1171537736528865,0.775466730672072,-0.055376359415738,0.6497348358691327,0.4221553569418888,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.055376359415738,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,PMLV2,2016,46,2016-01-01,2016-12-26,1.355496344695467,1.0244289895951133,-0.0374721116251066,0.5444349592275046,0.2964094248290546,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0374721116251066,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,PMLV2,2016,46,2016-01-01,2016-12-26,1.4342935236447971,1.102945739455021,-0.7685686122776059,0.650223080385999,0.4227900542666573,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.7685686122776059,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,PMLV2,2017,38,2017-01-01,2017-12-27,1.2988217406860931,0.8584604208979165,-0.5011449161271578,0.5374470186031081,0.2888492978053696,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5011449161271578,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,PMLV2,2018,46,2018-01-01,2018-12-27,0.9447145459714524,0.6839370137685996,0.021233475220343,0.5216106897324996,0.2720777116432139,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.021233475220343,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,PMLV2,2016,20,2016-06-25,2016-11-24,1.2427732731168977,1.0360521959519005,-0.8593339244070073,0.6380013247265183,0.4070456903527922,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.8593339244070073,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,PMLV2,2017,28,2017-05-25,2017-12-27,1.4501183938652884,1.1791761218778416,-0.3395469979496101,0.5642488023449359,0.3183767109476945,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.3395469979496101,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,PMLV2,2018,40,2018-01-01,2018-11-09,1.1467036609798666,0.8692661561057008,-0.6320290575068885,0.6154491701763516,0.3787776810707597,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.6320290575068885,ELIGIBLE_FOR_PRIMARY_COMPARISON
PVM,PMLV2,2017,11,2017-10-08,2017-12-27,1.2195922703095663,1.036023429825658,0.8748394097619017,0.1134691879610074,0.0128752566165304,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.8748394097619017,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,PMLV2,2014,46,2014-01-01,2014-12-27,1.8968385123152367,1.3065732488921515,-0.9148714771864476,0.4163882486655644,0.1733791736267758,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.9148714771864476,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,PMLV2,2015,46,2015-01-01,2015-12-27,1.9180453216097195,1.264759098695209,-0.7160549023029417,0.2497454920475145,0.0623728107980551,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.7160549023029417,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,PMLV2,2016,12,2016-01-01,2016-03-29,1.4975240768247322,1.0471626567112489,-0.1440497739555651,-0.0277525144514343,0.000770202058377,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.1440497739555651,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,PMLV2,2016,2,2016-06-17,2016-12-26,0.0513214218238471,0.0512909883333335,-0.0512909883333335,1.0,0.9999999999999998,BENCHMARKED,GEE_COMMON_YEAR,INSUFFICIENT,False,0.0512909883333335,REFERENCE_ONLY
SIT,PMLV2,2017,28,2017-01-01,2017-12-27,0.9152632278145012,0.6308945482103175,-0.5290967720595238,0.8908593753628157,0.7936304266718262,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.5290967720595238,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,PMLV2,2018,40,2018-01-01,2018-11-09,1.3410846507890837,0.9556095079777778,0.2435943496833334,0.2979145710270893,0.0887530916302546,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2435943496833334,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,PMLV2,2016,46,2016-01-01,2016-12-26,2.104779578742631,1.6023526650683224,-1.5497548988681626,0.5849868826273115,0.3422096528460199,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.5497548988681626,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,PMLV2,2017,46,2017-01-01,2017-12-27,2.2100595478198053,1.722308989148668,-1.6574787879080348,0.479666232540888,0.2300796946399692,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.6574787879080348,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,SSEBOP_V61,2014,6,2014-07-01,2014-12-01,17.44375562619862,11.568358054333336,-11.568358054333336,0.8224584670726212,0.6764379300594459,BENCHMARKED,EXTERNAL_SSEBOP,LIMITED,False,11.568358054333336,REFERENCE_ONLY
BKC,SSEBOP_V61,2015,9,2015-01-01,2015-12-01,23.990770209518796,17.178306367111116,-8.822033113777778,0.7797844583893014,0.6080638015454962,BENCHMARKED,EXTERNAL_SSEBOP,LIMITED,False,8.822033113777778,REFERENCE_ONLY
BKC,SSEBOP_V61,2016,2,2016-01-01,2016-02-01,5.887100123293936,5.543784330755605,1.9810106399906375,-1.0,1.0,BENCHMARKED,EXTERNAL_SSEBOP,INSUFFICIENT,False,1.9810106399906375,REFERENCE_ONLY
JIT,SSEBOP_V61,2016,5,2016-07-01,2016-11-01,12.290420350240591,10.8902660482,-0.616546409,0.8999864008236365,0.8099755216674832,BENCHMARKED,EXTERNAL_SSEBOP,LIMITED,False,0.616546409,REFERENCE_ONLY
JIT,SSEBOP_V61,2017,9,2017-04-01,2017-12-01,26.97218549618845,22.316026153777774,-7.639691141555555,0.2382251022068649,0.0567511993214712,BENCHMARKED,EXTERNAL_SSEBOP,LIMITED,False,7.639691141555555,REFERENCE_ONLY
JIT,SSEBOP_V61,2018,9,2018-01-01,2018-09-01,22.44774249858758,17.813557687222225,-15.551880865,0.4296134393305617,0.1845677072534342,BENCHMARKED,EXTERNAL_SSEBOP,LIMITED,False,15.551880865,REFERENCE_ONLY
KKM,SSEBOP_V61,2014,11,2014-02-01,2014-12-01,38.92301681714186,33.441922973909094,17.42930732590909,0.2189330761646945,0.0479316918389359,BENCHMARKED,EXTERNAL_SSEBOP,ADEQUATE,True,17.42930732590909,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,SSEBOP_V61,2015,12,2015-01-01,2015-12-01,33.827923515802524,31.711944084916663,19.62692673025,0.4854437963187388,0.2356556793843492,BENCHMARKED,EXTERNAL_SSEBOP,ADEQUATE,True,19.62692673025,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,SSEBOP_V61,2016,12,2016-01-01,2016-12-01,38.69745579410082,35.72962014983333,17.568916024,0.3154312340695875,0.0994968634266629,BENCHMARKED,EXTERNAL_SSEBOP,ADEQUATE,True,17.568916024,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,SSEBOP_V61,2016,0,,,,,,,,NO_VALID_OVERLAP,EXTERNAL_SSEBOP,INSUFFICIENT,False,,REFERENCE_ONLY
SIT,SSEBOP_V61,2017,6,2017-07-01,2017-12-01,25.80473395618025,23.786041767166665,-16.155725792833334,0.9026525387774528,0.8147816057613807,BENCHMARKED,EXTERNAL_SSEBOP,LIMITED,False,16.155725792833334,REFERENCE_ONLY
SIT,SSEBOP_V61,2018,10,2018-01-01,2018-10-01,28.169052509034174,22.658770954,-6.956908500000002,0.3042240333004569,0.0925522624375975,BENCHMARKED,EXTERNAL_SSEBOP,ADEQUATE,True,6.956908500000002,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,SSEBOP_V61,2016,12,2016-01-01,2016-12-01,63.85028870078616,51.366842452666674,-50.908380559166666,0.480567073437802,0.2309447120725737,BENCHMARKED,EXTERNAL_SSEBOP,ADEQUATE,True,50.908380559166666,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,SSEBOP_V61,2017,12,2017-01-01,2017-12-01,67.99543958821098,54.955158199,-54.955158199,0.3389980385680363,0.1149196701529758,BENCHMARKED,EXTERNAL_SSEBOP,ADEQUATE,True,54.955158199,ELIGIBLE_FOR_PRIMARY_COMPARISON
